arm,input_unchanged,kind,path,seed,sha256_after,sha256_before,size_bytes,step
current_old_50_50,True,head_predictions,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000000000/predictions.npz,0,e3159a5f3dd68e1a71f1ec33345198a068855687667852000130cba404cf92f1,e3159a5f3dd68e1a71f1ec33345198a068855687667852000130cba404cf92f1,1112612,0
current_old_50_50,True,head_summary,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000000000/summary.json,0,34e6d6e515a16faba94634aa9a5b62cde2225b122f6ecddc94ca456323cd0930,34e6d6e515a16faba94634aa9a5b62cde2225b122f6ecddc94ca456323cd0930,70003,0
current_old_50_50,True,critic_rollouts,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000000000/rollout_summary.csv,0,e3880208bddae21155a28e18d0fd2434a7a132ebcf75916a3ad122e4f8b6dda1,e3880208bddae21155a28e18d0fd2434a7a132ebcf75916a3ad122e4f8b6dda1,1474950,0
current_old_50_50,True,critic_summary,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000000000/summary.json,0,e7590151e6404aba1386b9e76af1f32864dd9f7f770869f2a9104d574d811e31,e7590151e6404aba1386b9e76af1f32864dd9f7f770869f2a9104d574d811e31,94094,0
current_old_50_50,True,head_predictions,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000200000/predictions.npz,0,c30209f380872b8ce152f94e6b93818d0d4373ed0f57d775b7478f27355d6af5,c30209f380872b8ce152f94e6b93818d0d4373ed0f57d775b7478f27355d6af5,2156692,200000
current_old_50_50,True,head_summary,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000200000/summary.json,0,9072a7d9ee3f252fbe523dede0723fb4c5c41306d3df50eb3576e2940c7df014,9072a7d9ee3f252fbe523dede0723fb4c5c41306d3df50eb3576e2940c7df014,98058,200000
current_old_50_50,True,critic_rollouts,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000200000/rollout_summary.csv,0,ce4200e6393749033815e9b53cf3255ea71cf1fabacb1507aa5f6a2199dc4f7b,ce4200e6393749033815e9b53cf3255ea71cf1fabacb1507aa5f6a2199dc4f7b,3252855,200000
current_old_50_50,True,critic_summary,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000200000/summary.json,0,c7a2d6f34d1543b6cc4019c9a654c87485d01cbad1cdd1748c6b0dd313b64d60,c7a2d6f34d1543b6cc4019c9a654c87485d01cbad1cdd1748c6b0dd313b64d60,114019,200000
current_old_50_50,True,head_predictions,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000400000/predictions.npz,0,252ac544d2919cffe686d5ef9a12d12a284bf52e452557b890bd26ce6df99eea,252ac544d2919cffe686d5ef9a12d12a284bf52e452557b890bd26ce6df99eea,2223337,400000
current_old_50_50,True,head_summary,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000400000/summary.json,0,c77f4ea250553b08da482fa305a2fae2bed4904832677adf824e066fe7804d59,c77f4ea250553b08da482fa305a2fae2bed4904832677adf824e066fe7804d59,98502,400000
current_old_50_50,True,critic_rollouts,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000400000/rollout_summary.csv,0,a980d999734ef1ecac8066a47987c89ebc507447c2c7ccd61cfe03604d9a8fa2,a980d999734ef1ecac8066a47987c89ebc507447c2c7ccd61cfe03604d9a8fa2,3244752,400000
current_old_50_50,True,critic_summary,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000400000/summary.json,0,84a2bdf6f822bead0a6cfd652c66568a7d3f26540549276d20b030029c5331ad,84a2bdf6f822bead0a6cfd652c66568a7d3f26540549276d20b030029c5331ad,114135,400000
current_old_50_50,True,head_predictions,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000600000/predictions.npz,0,86a689c25a0ca3d18de619a587341406d2ecc0691c906ed332bceab7cf819a4a,86a689c25a0ca3d18de619a587341406d2ecc0691c906ed332bceab7cf819a4a,2306432,600000
current_old_50_50,True,head_summary,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000600000/summary.json,0,fdaadbab560e3735b8d7d71c6627580370f6c5c4960cc1ef6505166c7cf5a3db,fdaadbab560e3735b8d7d71c6627580370f6c5c4960cc1ef6505166c7cf5a3db,97987,600000
current_old_50_50,True,critic_rollouts,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000600000/rollout_summary.csv,0,bd4cfe5342b16c778ad8f6cf1456fedf3f0db1e41a0a1391fde10db757ccb988,bd4cfe5342b16c778ad8f6cf1456fedf3f0db1e41a0a1391fde10db757ccb988,3201332,600000
current_old_50_50,True,critic_summary,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000600000/summary.json,0,fd16cd32c13647421682307dcbfd2035b5bba5fb9b6d3f0ac7a7f36d15e36da7,fd16cd32c13647421682307dcbfd2035b5bba5fb9b6d3f0ac7a7f36d15e36da7,113149,600000
current_old_50_50,True,head_predictions,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000800000/predictions.npz,0,24219209c6b34a3cca77ad16df93a738db2c561c0462286b834d4dc54d8356f0,24219209c6b34a3cca77ad16df93a738db2c561c0462286b834d4dc54d8356f0,2288842,800000
current_old_50_50,True,head_summary,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/current_old_50_50/seed_0000/step_000000800000/summary.json,0,605a20468acdeee1a749d3f70621f8fae70590be5b72c3f10055dfef074b0362,605a20468acdeee1a749d3f70621f8fae70590be5b72c3f10055dfef074b0362,98518,800000
